"name","value","Game","target"
"DDQN+Pop-Art noop",119679,"Crazy Climber",35411
"DDQN+Pop-Art noop",63644.9,"Demon Attack",3401
"DDQN+Pop-Art noop",-11.5,"Double Dunk",-15.5
"DDQN+Pop-Art noop",2002.1,"Enduro",309.6
"DDQN+Pop-Art noop",45.1,"Fishing Derby",5.5
"DDQN+Pop-Art noop",33.4,"Freeway",29.6
"DDQN+Pop-Art noop",3469.6,"Frostbite",4355
"DDQN+Pop-Art noop",56218.2,"Gopher",2321
"DDQN+Pop-Art noop",483.5,"Gravitar",2672
"DDQN+Pop-Art noop",14225.2,"HERO",25763
"DDQN+Pop-Art noop",-4.1,"Ice Hockey",0.9
"DDQN+Pop-Art noop",507.5,"James Bond",406.7
"DDQN+Pop-Art noop",13150,"Kangaroo",3035
"DDQN+Pop-Art noop",9745.1,"Krull",2395
"DDQN+Pop-Art noop",34393,"Kung-Fu Master",22736
"DDQN+Pop-Art noop",0,"Montezuma's Revenge",4367
"DDQN+Pop-Art noop",4963.8,"Ms. Pacman",15693
"DDQN+Pop-Art noop",15851.2,"Name This Game",4076
"DDQN+Pop-Art noop",20.6,"Pong",9.3
"DDQN+Pop-Art noop",286.7,"Private Eye",69571
"DDQN+Pop-Art noop",5236.8,"Q*Bert",13455
"DDQN+Pop-Art noop",12530.8,"River Raid",13513
"DDQN+Pop-Art noop",47770,"Road Runner",7845
"DDQN+Pop-Art noop",64.3,"Robotank",11.9
"DDQN+Pop-Art noop",10932.3,"Seaquest",20182
"DDQN+Pop-Art noop",2589.7,"Space Invaders",1652
"DDQN+Pop-Art noop",589,"Star Gunner",10250
"DDQN+Pop-Art noop",12.1,"Tennis",-8.9
"DDQN+Pop-Art noop",4870,"Time Pilot",5925
"DDQN+Pop-Art noop",183.9,"Tutankham",167.6
"DDQN+Pop-Art noop",22474.4,"Up and Down",9082
"DDQN+Pop-Art noop",1172,"Venture",1188
"DDQN+Pop-Art noop",56287,"Video Pinball",17298
"DDQN+Pop-Art noop",483,"Wizard of Wor",4757
"DDQN+Pop-Art noop",14402,"Zaxxon",9173
"DDQN+Pop-Art noop",6202.5,"Phoenix",2665.5
"DDQN+Pop-Art noop",-2.6,"Pitfall!",22736.3
"DDQN+Pop-Art noop",-13585.1,"Skiing",13455
"DDQN+Pop-Art noop",4544.8,"Solaris",17118
"DDQN+Pop-Art noop",21409.5,"Yars Revenge",5650
"DDQN+Pop-Art noop",11099,"Defender",18688.9
"DDQN+Pop-Art noop",-2.5,"Surround",6.5
"DQN best",5184,"Beam Rider",7456
"DQN best",225,"Breakout",31.8
"DQN best",661,"Enduro",309.6
"DQN best",21,"Pong",9.3
"DQN best",4500,"Q*Bert",13455
"DQN best",1740,"Seaquest",20182
"DQN best",1075,"Space Invaders",1652
"DQN hs",634,"Alien",6875
"DQN hs",178.4,"Amidar",1676
"DQN hs",3489.3,"Assault",1496
"DQN hs",3170.5,"Asterix",8503
"DQN hs",1458.7,"Asteroids",13157
"DQN hs",292491,"Atlantis",29028
"DQN hs",312.7,"Bank Heist",734.4
"DQN hs",23750,"Battle Zone",37800
"DQN hs",9743.2,"Beam Rider",7456
"DQN hs",493.4,"Berzerk",2630.4
"DQN hs",56.5,"Bowling",154.8
"DQN hs",70.3,"Boxing",4.3
"DQN hs",354.5,"Breakout",31.8
"DQN hs",3973.9,"Centipede",11963
"DQN hs",5017,"Chopper Command",9882
"DQN hs",98128,"Crazy Climber",35411
"DQN hs",12550.7,"Demon Attack",3401
"DQN hs",-6,"Double Dunk",-15.5
"DQN hs",626.7,"Enduro",309.6
"DQN hs",-1.6,"Fishing Derby",5.5
"DQN hs",26.9,"Freeway",29.6
"DQN hs",496.1,"Frostbite",4355
"DQN hs",8190.4,"Gopher",2321
"DQN hs",298,"Gravitar",2672
"DQN hs",14992.9,"HERO",25763
"DQN hs",-1.6,"Ice Hockey",0.9
"DQN hs",697.5,"James Bond",406.7
"DQN hs",4496,"Kangaroo",3035
"DQN hs",6206,"Krull",2395
"DQN hs",20882,"Kung-Fu Master",22736
"DQN hs",47,"Montezuma's Revenge",4367
"DQN hs",1092.3,"Ms. Pacman",15693
"DQN hs",6738.8,"Name This Game",4076
"DQN hs",18,"Pong",9.3
"DQN hs",207.9,"Private Eye",69571
"DQN hs",9271.5,"Q*Bert",13455
"DQN hs",4748.5,"River Raid",13513
"DQN hs",35215,"Road Runner",7845
"DQN hs",58.7,"Robotank",11.9
"DQN hs",4216.7,"Seaquest",20182
"DQN hs",1293.8,"Space Invaders",1652
"DQN hs",52970,"Star Gunner",10250
"DQN hs",11.1,"Tennis",-8.9
"DQN hs",4786,"Time Pilot",5925
"DQN hs",45.6,"Tutankham",167.6
"DQN hs",8038.5,"Up and Down",9082
"DQN hs",136,"Venture",1188
"DQN hs",154414.1,"Video Pinball",17298
"DQN hs",1609,"Wizard of Wor",4757
"DQN hs",4412,"Zaxxon",9173
"DQN hs",7484.8,"Phoenix",2665.5
"DQN hs",-113.2,"Pitfall!",22736.3
"DQN hs",-12142.1,"Skiing",13455
"DQN hs",1295.4,"Solaris",17118
"DQN hs",4577.5,"Yars Revenge",5650
"DQN hs",15917.5,"Defender",18688.9
"DQN hs",-6,"Surround",6.5
"DQN noop",1620,"Alien",6875
"DQN noop",978,"Amidar",1676
"DQN noop",4280.4,"Assault",1496
"DQN noop",4359,"Asterix",8503
"DQN noop",1364.5,"Asteroids",13157
"DQN noop",279987,"Atlantis",29028
"DQN noop",455,"Bank Heist",734.4
"DQN noop",29900,"Battle Zone",37800
"DQN noop",8627.5,"Beam Rider",7456
"DQN noop",585.6,"Berzerk",2630.4
"DQN noop",50.4,"Bowling",154.8
"DQN noop",88,"Boxing",4.3
"DQN noop",385.5,"Breakout",31.8
"DQN noop",4657.7,"Centipede",11963
"DQN noop",6126,"Chopper Command",9882
"DQN noop",110763,"Crazy Climber",35411
"DQN noop",12149.4,"Demon Attack",3401
"DQN noop",-6.6,"Double Dunk",-15.5
"DQN noop",729,"Enduro",309.6
"DQN noop",-4.9,"Fishing Derby",5.5
"DQN noop",30.8,"Freeway",29.6
"DQN noop",797.4,"Frostbite",4355
"DQN noop",8777.4,"Gopher",2321
"DQN noop",473,"Gravitar",2672
"DQN noop",20437.8,"HERO",25763
"DQN noop",-1.9,"Ice Hockey",0.9
"DQN noop",768.5,"James Bond",406.7
"DQN noop",7259,"Kangaroo",3035
"DQN noop",8422.3,"Krull",2395
"DQN noop",26059,"Kung-Fu Master",22736
"DQN noop",0,"Montezuma's Revenge",4367
"DQN noop",3085.6,"Ms. Pacman",15693
"DQN noop",8207.8,"Name This Game",4076
"DQN noop",19.5,"Pong",9.3
"DQN noop",146.7,"Private Eye",69571
"DQN noop",13117.3,"Q*Bert",13455
"DQN noop",7377.6,"River Raid",13513
"DQN noop",39544,"Road Runner",7845
"DQN noop",63.9,"Robotank",11.9
"DQN noop",5860.6,"Seaquest",20182
"DQN noop",1692.3,"Space Invaders",1652
"DQN noop",54282,"Star Gunner",10250
"DQN noop",12.2,"Tennis",-8.9
"DQN noop",4870,"Time Pilot",5925
"DQN noop",68.1,"Tutankham",167.6
"DQN noop",9989.9,"Up and Down",9082
"DQN noop",163,"Venture",1188
"DQN noop",196760.4,"Video Pinball",17298
"DQN noop",2704,"Wizard of Wor",4757
"DQN noop",5363,"Zaxxon",9173
"DQN noop",8485.2,"Phoenix",2665.5
"DQN noop",-286.1,"Pitfall!",22736.3
